"Lambda(microns)","THROUGHPUT","THROUGHPUT"
0.1862,0,0
0.1863,0,0
0.1864,0,0
0.1865,0,0
0.1866,0,0
0.1867,0,0
0.1868,0,0
0.1869,0,0
0.187,0,0
0.1871,0,0
0.1872,0,0
0.1873,0,0
0.1874,0,0
0.1875,0,0
0.1876,0,0
0.1877,0,0
0.1878,0,0
0.1879,0,0
0.188,0,0
0.1881,0,0
0.1882,0,0
0.1883,0,0
0.1884,0,0
0.1885,0,0
0.1886,0,0
0.1887,0,0
0.1888,0,0
0.1889,0,0
0.189,0,0
0.1891,0,0
0.1892,0,0
0.1893,0,0
0.1894,0,0
0.1895,0,0
0.1896,0,0
0.1897,0,0
0.1898,0,0
0.1899,0,0
0.19,0,0
0.1901,0,0
0.1902,0,0
0.1903,0,0
0.1904,0,0
0.1905,0,0
0.1906,0,0
0.1907,0,0
0.1908,0,0
0.1909,0,0
0.191,0,0
0.1911,0,0
0.1912,0,0
0.1913,0,0
0.1914,0,0
0.1915,0,0
0.1916,0,0
0.1917,0,0
0.1918,0,0
0.1919,0,0
0.192,0,0
0.1921,0,0
0.1922,0,0
0.1923,0,0
0.1924,0,0
0.1925,0,0
0.1926,0,0
0.1927,0,0
0.1928,0,0
0.1929,0,0
0.193,0,0
0.1931,0,0
0.1932,0,0
0.1933,0,0
0.1934,0,0
0.1935,0,0
0.1936,0,0
0.1937,0,0
0.1938,0,0
0.19380383300781,0,0
0.1939,0,0
0.19390383300781,0,0
0.194,0,0
0.19400383300781,0,0
0.1941,0,0
0.1942,0,0
0.1943,0,0
0.1944,0,0
0.1945,0,0
0.1946,0,0
0.1947,0,0
0.1948,0,0
0.1949,0,0
0.195,0,0
0.19500399169922,0,0
0.1951,0,0
0.1952,0,0
0.1953,0,0
0.1954,0,0
0.1955,0,0
0.1956,0,0
0.1957,0,0
0.1958,0,0
0.1959,0,0
0.196,0,0
0.19600413818359,0,0
0.1961,0,0
0.1962,0,0
0.1963,0,0
0.1964,0,0
0.1965,0,0
0.1966,0,0
0.1967,0,0
0.1968,0,0
0.1969,0,0
0.197,0,0
0.19700430908203,0,0
0.1971,0,0
0.1972,0,0
0.1973,0,0
0.1974,0,0
0.1975,0,0
0.1976,0,0
0.1977,0,0
0.1978,0,0
0.1979,0,0
0.198,0,0
0.19800446777344,0,0
0.1981,0,0
0.1982,0,0
0.1983,0,0
0.1984,0,0
0.1985,0,0
0.1986,0,0
0.1987,0,0
0.1988,0,0
0.1989,0,0
0.199,5.5338337147865E-008,2.7669168573933E-007
0.19900463867187,5.5455105280688E-008,2.7727552640344E-007
0.1991,5.3616041045972E-008,2.6808020522986E-007
0.1992,5.1669329976673E-008,2.5834664988337E-007
0.1993,4.9713820720378E-008,2.4856910360189E-007
0.1994,4.7740088357107E-008,2.3870044178554E-007
0.1995,4.5757114322858E-008,2.2878557161429E-007
0.1996,4.3756193912849E-008,2.1878096956425E-007
0.1997,4.1745577592801E-008,2.08727887964E-007
0.1998,3.9720981581001E-008,1.98604907905E-007
0.1999,3.7678871124301E-008,1.8839435562151E-007
0.2,3.5626372829864E-008,1.7813186414932E-007
0.20000482177734,3.5523235006263E-008,1.7761617503132E-007
0.2001,3.5996413948122E-008,1.7998206974061E-007
0.2002,3.6497906420949E-008,1.8248953210474E-007
0.2003,3.6997050413994E-008,1.8498525206997E-007
0.2004,3.7500653064828E-008,1.8750326532414E-007
0.2005,3.8005334443461E-008,1.9002667221731E-007
0.2006,3.850752915466E-008,1.925376457733E-007
0.2007,3.901431822169E-008,1.9507159110845E-007
0.2008,3.951853225169E-008,1.9759266125845E-007
0.2009,4.0027438697506E-008,2.0013719348753E-007
0.201,4.0533672865459E-008,2.026683643273E-007
0.20100499267578,4.0559155130636E-008,2.0279577565318E-007
0.2011,3.9267384991051E-008,1.9633692495526E-007
0.2012,3.790459257695E-008,1.8952296288475E-007
0.2013,3.6535197496698E-008,1.8267598748349E-007
0.2014,3.5166089322685E-008,1.7583044661343E-007
0.2015,3.3790630643925E-008,1.6895315321962E-007
0.2016,3.2415202909801E-008,1.6207601454901E-007
0.2017,3.1033677948933E-008,1.5516838974467E-007
0.2018,2.9651926889455E-008,1.4825963444727E-007
0.2019,2.826694544525E-008,1.4133472722625E-007
0.202,2.6876251919053E-008,1.3438125959527E-007
0.20200517578125,2.680431406511E-008,1.3402157032555E-007
0.2021,2.7149698081624E-008,1.3574849040812E-007
0.2022,2.7512133414777E-008,1.3756066707388E-007
0.2023,2.7877845407403E-008,1.3938922703701E-007
0.2024,2.8241709611706E-008,1.4120854805853E-007
0.2025,2.8608918041935E-008,1.4304459020968E-007
0.2026,2.897689186288E-008,1.448844593144E-007
0.2027,2.9342917201197E-008,1.4671458600598E-007
0.2028,2.9712388623539E-008,1.485619431177E-007
0.2029,3.0079844084047E-008,1.5039922042024E-007
0.203,3.0450813829925E-008,1.5225406914963E-007
0.20300534667969,3.0470509961494E-008,1.5235254980747E-007
0.2031,3.2254093139128E-008,1.6127046569564E-007
0.2032,3.4145281545953E-008,1.7072640772977E-007
0.2033,3.6037295388082E-008,1.8018647694041E-007
0.2034,3.7936622014356E-008,1.8968311007178E-007
0.2035,3.9840105376938E-008,1.9920052688469E-007
0.2036,4.1743887485568E-008,2.0871943742784E-007
0.2037,4.3655512131973E-008,2.1827756065986E-007
0.2038,4.5567084862545E-008,2.2783542431273E-007
0.2039,4.7486854913325E-008,2.3743427456663E-007
0.204,4.9406220955162E-008,2.4703110477581E-007
0.20400552978516,4.9512704834108E-008,2.4756352417054E-007
0.2041,4.8119778719019E-008,2.405988935951E-007
0.2042,4.6642051962685E-008,2.3321025981342E-007
0.2043,4.5156791683048E-008,2.2578395841524E-007
0.2044,4.3672476222214E-008,2.1836238111107E-007
0.2045,4.2180905585673E-008,2.1090452792836E-007
0.2046,4.0690007750838E-008,2.0345003875419E-007
0.2047,3.9192124298908E-008,1.9596062149454E-007
0.2048,3.7694635698681E-008,1.884731784934E-007
0.2049,3.6193780956553E-008,1.8096890478276E-007
0.205,3.4686354429111E-008,1.7343177214555E-007
0.20500571289063,3.4600722867795E-008,1.7300361433898E-007
0.2051,3.4406447854211E-008,1.7203223927105E-007
0.2052,3.4196635481146E-008,1.7098317740573E-007
0.2053,3.3989375961664E-008,1.6994687980832E-007
0.2054,3.3778370334587E-008,1.6889185167293E-007
0.2055,3.3569877718968E-008,1.6784938859484E-007
0.2056,3.3357677115985E-008,1.6678838557993E-007
0.2057,3.3147945818991E-008,1.6573972909496E-007
0.2058,3.2937590099353E-008,1.6468795049677E-007
0.2059,3.2723583957462E-008,1.6361791978731E-007
0.206,3.2511990254918E-008,1.6255995127459E-007
0.20600590820313,3.2499275213165E-008,1.6249637606583E-007
0.2061,3.1372040865537E-008,1.5686020432769E-007
0.2062,3.0173986761134E-008,1.5086993380567E-007
0.2063,2.8970123632454E-008,1.4485061816227E-007
0.2064,2.7765909784139E-008,1.3882954892069E-007
0.2065,2.6558556885494E-008,1.3279278442747E-007
0.2066,2.5345722814307E-008,1.2672861407153E-007
0.2067,2.4132196576264E-008,1.2066098288132E-007
0.2068,2.2913409185622E-008,1.1456704592811E-007
0.2069,2.1693698368775E-008,1.0846849184388E-007
0.207,2.0468950031874E-008,1.0234475015937E-007
0.20700607910156,2.0394503354646E-008,1.0197251677323E-007
0.2071,2.0950693618835E-008,1.0475346809417E-007
0.2072,2.1542287624491E-008,1.0771143812246E-007
0.2073,2.2137251496571E-008,1.1068625748286E-007
0.2074,2.273365291792E-008,1.136682645896E-007
0.2075,2.3329340457992E-008,1.1664670228996E-007
0.2076,2.3928565131307E-008,1.1964282565654E-007
0.2077,2.4526967664228E-008,1.2263483832114E-007
0.2078,2.5129019406418E-008,1.2564509703209E-007
0.2079,2.573014025204E-008,1.286507012602E-007
0.208,2.633502286804E-008,1.316751143402E-007
0.20800627441406,2.6372852371766E-008,1.3186426185883E-007
0.2081,2.6469140155251E-008,1.3234570077625E-007
0.2082,2.6574496001446E-008,1.3287248000723E-007
0.2083,2.6680044641515E-008,1.3340022320757E-007
0.2084,2.6783321991491E-008,1.3391660995745E-007
0.2085,2.6889255821677E-008,1.3444627910839E-007
0.2086,2.6992896563129E-008,1.3496448281564E-007
0.2087,2.7099213070795E-008,1.3549606535398E-007
0.2088,2.7203217546259E-008,1.3601608773129E-007
0.2089,2.7309917138328E-008,1.3654958569164E-007
0.209,2.7414285688481E-008,1.370714284424E-007
0.20900646972656,2.7421185665829E-008,1.3710592832915E-007
0.2091,2.6611497224964E-008,1.3305748612482E-007
0.2092,2.5743705560885E-008,1.2871852780443E-007
0.2093,2.4871454577288E-008,1.2435727288644E-007
0.2094,2.3999408606579E-008,1.199970430329E-007
0.2095,2.3123061632472E-008,1.1561530816236E-007
0.2096,2.2246753187446E-008,1.1123376593723E-007
0.2097,2.1366305345464E-008,1.0683152672732E-007
0.2098,2.0485733705126E-008,1.0242866852563E-007
0.2099,1.9602986304813E-008,9.8014931524064E-008
0.21,1.8716336880999E-008,9.3581684404995E-008
0.21000666503906,1.8659936981157E-008,9.3299684905784E-008
0.2101,1.9252865518012E-008,9.626432759006E-008
0.2102,1.9890132994538E-008,9.9450664972691E-008
0.2103,2.0533149319579E-008,1.0266574659789E-007
0.2104,2.1178202296204E-008,1.0589101148102E-007
0.2105,2.1829147360017E-008,1.0914573680009E-007
0.2106,2.248203464318E-008,1.124101732159E-007
0.2107,2.3140958776199E-008,1.15704793881E-007
0.2108,2.3801729355489E-008,1.1900864677744E-007
0.2109,2.4468680394123E-008,1.2234340197061E-007
0.211,2.5139698642894E-008,1.2569849321447E-007
0.21100686035156,2.518569769257E-008,1.2592848846285E-007
0.2111,2.6046055520106E-008,1.3023027760053E-007
0.2112,2.6977630382267E-008,1.3488815191133E-007
0.2113,2.7912375586828E-008,1.3956187793414E-007
0.2114,2.8855363731816E-008,1.4427681865908E-007
0.2115,2.980138485886E-008,1.490069242943E-007
0.2116,3.0755858007666E-008,1.5377929003833E-007
0.2117,3.1713224847104E-008,1.5856612423552E-007
0.2118,3.2679254992607E-008,1.6339627496303E-007
0.2119,3.3651135313158E-008,1.6825567656579E-007
0.212,3.4625697001702E-008,1.7312848500851E-007
0.21200705566406,3.4694860400916E-008,1.7347430200458E-007
0.2121,3.4759932533767E-008,1.7379966266884E-007
0.2122,3.4826711543248E-008,1.7413355771624E-007
0.2123,3.4896657303651E-008,1.7448328651826E-007
0.2124,3.4963351872043E-008,1.7481675936022E-007
0.2125,3.5033224429074E-008,1.7516612214537E-007
0.2126,3.5099832475888E-008,1.7549916237944E-007
0.2127,3.5169629727001E-008,1.7584814863501E-007
0.2128,3.5239391594013E-008,1.7619695797006E-007
0.2129,3.530586899399E-008,1.7652934496995E-007
0.213,3.5375552377299E-008,1.768777618865E-007
0.21300725097656,3.5380323498772E-008,1.7690161749386E-007
0.2131,3.4547415093235E-008,1.7273707546618E-007
0.2132,3.3646695502659E-008,1.6823347751329E-007
0.2133,3.2736770109502E-008,1.6368385054751E-007
0.2134,3.1823722830293E-008,1.5911861415146E-007
0.2135,3.0901602794641E-008,1.545080139732E-007
0.2136,2.9976156685329E-008,1.4988078342664E-007
0.2137,2.9041765773172E-008,1.4520882886586E-007
0.2138,2.8103838727203E-008,1.4051919363601E-007
0.2139,2.7159598141017E-008,1.3579799070508E-007
0.214,2.6206613725915E-008,1.3103306862958E-007
0.21400747070312,2.6135314659796E-008,1.3067657329898E-007
0.2141,2.6775463716445E-008,1.3387731858223E-007
0.2142,2.746861346018E-008,1.373430673009E-007
0.2143,2.8168227523472E-008,1.4084113761736E-007
0.2144,2.8869201726001E-008,1.4434600863E-007
0.2145,2.9576792211903E-008,1.4788396105952E-007
0.2146,3.0285637040236E-008,1.5142818520118E-007
0.2147,3.1001251634454E-008,1.5500625817227E-007
0.2148,3.1720925689352E-008,1.5860462844676E-007
0.2149,3.2441696431715E-008,1.6220848215858E-007
0.215,3.3169470211084E-008,1.6584735105542E-007
0.21500766601562,3.3225146249876E-008,1.6612573124938E-007
0.2151,3.0778876255074E-008,1.5389438127537E-007
0.2152,2.811648185127E-008,1.4058240925635E-007
0.2153,2.5434981609006E-008,1.2717490804503E-007
0.2154,2.273924646931E-008,1.1369623234655E-007
0.2155,2.0024800212954E-008,1.0012400106477E-007
0.2156,1.7295521851813E-008,8.6477609259064E-008
0.2157,1.4547932750225E-008,7.2739663751127E-008
0.2158,1.1784907935934E-008,5.8924539679667E-008
0.2159,9.0048056986927E-009,4.5024028493463E-008
0.216,6.207003198956E-009,3.103501599478E-008
0.21600786132813,5.9863862848638E-009,2.9931931424319E-008
0.2161,5.942223982632E-009,2.971111991316E-008
0.2162,5.8934039742703E-009,2.9467019871352E-008
0.2163,5.8447653925969E-009,2.9223826962984E-008
0.2164,5.7952289249327E-009,2.8976144624663E-008
0.2165,5.7458625821556E-009,2.8729312910778E-008
0.2166,5.6956052475802E-009,2.8478026237901E-008
0.2167,5.6455065964911E-009,2.8227532982456E-008
0.2168,5.5945239713407E-009,2.7972619856704E-008
0.2169,5.5436884478688E-009,2.7718442239344E-008
0.217,5.4924803971359E-009,2.7462401985679E-008
0.21700808105469,5.4882755611925E-009,2.7441377805962E-008
0.2171,1.0503203264073E-008,5.2516016320366E-008
0.2172,1.5990624618135E-008,7.9953123090673E-008
0.2173,2.1508577456385E-008,1.0754288728192E-007
0.2174,2.70605956823E-008,1.353029784115E-007
0.2175,3.2642317123652E-008,1.6321158561826E-007
0.2176,3.8259314624751E-008,1.9129657312375E-007
0.2177,4.3905171398447E-008,2.1952585699224E-007
0.2178,4.9587524272241E-008,2.4793762136121E-007
0.2179,5.5297883795502E-008,2.7648941897751E-007
0.218,6.1045971851697E-008,3.0522985925849E-007
0.21800827636719,6.1522609557138E-008,3.0761304778569E-007
0.2181,5.7674432495221E-008,2.883721624761E-007
0.2182,5.3460514430641E-008,2.673025721532E-007
0.2183,4.9221320654743E-008,2.4610660327372E-007
0.2184,4.4952651636531E-008,2.2476325818266E-007
0.2185,4.0663075995283E-008,2.0331537997642E-007
0.2186,3.6344667622682E-008,1.8172333811341E-007
0.2187,3.2004415586738E-008,1.6002207793369E-007
0.2188,2.7635985870215E-008,1.3817992935108E-007
0.2189,2.3244772853136E-008,1.1622386426568E-007
0.219,1.8826037866122E-008,9.4130189330612E-008
0.21900847167969,1.8450652675188E-008,9.2253263375941E-008
0.2191,2.2531687751775E-008,1.1265843875887E-007
0.2192,2.7012314673989E-008,1.3506157336994E-007
0.2193,3.1520490724493E-008,1.5760245362246E-007
0.2194,3.6050916097151E-008,1.8025458048576E-007
0.2195,4.0609859410636E-008,2.0304929705318E-007
0.2196,4.519450334599E-008,2.2597251672995E-007
0.2197,4.9800354994988E-008,2.4900177497494E-007
0.2198,5.4436196932797E-008,2.7218098466399E-007
0.2199,5.9092540611034E-008,2.9546270305517E-007
0.22,6.3779860477697E-008,3.1889930238849E-007
0.22000869140625,6.4189604933596E-008,3.2094802466798E-007
0.2201,5.8858118207601E-008,2.9429059103801E-007
0.2202,5.298918431843E-008,2.6494592159215E-007
0.2203,4.7078355071318E-008,2.3539177535659E-007
0.2204,4.1134696057207E-008,2.0567348028603E-007
0.2205,3.5150015901426E-008,1.7575007950713E-007
0.2206,2.9131198899138E-008,1.4565599449569E-007
0.2207,2.307224768401E-008,1.1536123842005E-007
0.2208,1.6977838300267E-008,8.4889191501336E-008
0.2209,1.0845188277931E-008,5.4225941389655E-008
0.221,4.6737567258833E-009,2.3368783629417E-008
0.22100891113281,4.1220262925311E-009,2.0610131462656E-008
0.2211,8.8283273616896E-009,4.4141636808448E-008
0.2212,1.4024063426228E-008,7.0120317131139E-008
0.2213,1.9252413119476E-008,9.6262065597379E-008
0.2214,2.4510417191752E-008,1.2255208595876E-007
0.2215,2.9802172972154E-008,1.4901086486077E-007
0.2216,3.5122790832152E-008,1.7561395416076E-007
0.2217,4.0478308353347E-008,2.0239154176673E-007
0.2218,4.5861886390741E-008,2.2930943195371E-007
0.2219,5.1281524077873E-008,2.5640762038937E-007
0.222,5.6728409862147E-008,2.8364204931073E-007
0.22200910644531,5.7226322495563E-008,2.8613161247782E-007
0.2221,5.6701949550653E-008,2.8350974775327E-007
0.2222,5.6121042589464E-008,2.8060521294732E-007
0.2223,5.5530849189197E-008,2.7765424594599E-007
0.2224,5.4941582660224E-008,2.7470791330112E-007
0.2225,5.4343114561948E-008,2.7171557280974E-007
0.2226,5.3745440454443E-008,2.6872720227221E-007
0.2227,5.3138651073854E-008,2.6569325536927E-007
0.2228,5.2532515477772E-008,2.6266257738886E-007
0.2229,5.1917358139142E-008,2.5958679069571E-007
0.223,5.1302724243003E-008,2.5651362121501E-007
0.22300932617187,5.1242102690022E-008,2.5621051345011E-007
0.2231,5.2497147722638E-008,2.6248573861319E-007
0.2232,5.3891948877665E-008,2.6945974438832E-007
0.2233,5.5287970023524E-008,2.7643985011762E-007
0.2234,5.6695215395039E-008,2.8347607697519E-007
0.2235,5.8103443887566E-008,2.9051721943783E-007
0.2236,5.9523173127661E-008,2.9761586563831E-007
0.2237,6.0949224192437E-008,3.0474612096219E-007
0.2238,6.2375899250131E-008,3.1187949625065E-007
0.2239,6.3814494323905E-008,3.1907247161953E-007
0.224,6.5253471043936E-008,3.2626735521968E-007
0.22400954589844,6.5391535180649E-008,3.2695767590325E-007
0.2241,6.404454529478E-008,3.202227264739E-007
0.2242,6.2542449638476E-008,3.1271224819238E-007
0.2243,6.1038601245615E-008,3.0519300622807E-007
0.2244,5.9521681984103E-008,2.9760840992052E-007
0.2245,5.8002709995291E-008,2.9001354997646E-007
0.2246,5.6470922263463E-008,2.8235461131732E-007
0.2247,5.4936779088892E-008,2.7468389544446E-007
0.2248,5.3390077962201E-008,2.66950389811E-007
0.2249,5.1840715944882E-008,2.5920357972441E-007
0.225,5.0279056439312E-008,2.5139528219656E-007
0.22500974121094,5.0126833324975E-008,2.5063416662487E-007
0.2251,4.8962562025012E-008,2.4481281012506E-007
0.2252,4.7662233559422E-008,2.3831116779711E-007
0.2253,4.6360020652707E-008,2.3180010326353E-007
0.2254,4.5051430406135E-008,2.2525715203068E-007
0.2255,4.3732463843354E-008,2.1866231921677E-007
0.2256,4.2411224764316E-008,2.1205612382158E-007
0.2257,4.1079827630358E-008,2.0539913815179E-007
0.2258,3.9745896608213E-008,1.9872948304107E-007
0.2259,3.8402033073402E-008,1.9201016536701E-007
0.226,3.7055371998159E-008,1.852768599908E-007
0.2260099609375,3.6920430985082E-008,1.8460215492541E-007
0.2261,3.9126771970214E-008,1.9563385985107E-007
0.2262,4.1590762361071E-008,2.0795381180535E-007
0.2263,4.4061463666719E-008,2.203073183336E-007
0.2264,4.6546720078224E-008,2.3273360039112E-007
0.2265,4.903826396065E-008,2.4519131980325E-007
0.2266,5.1544846641629E-008,2.5772423320814E-007
0.2267,5.4057289616393E-008,2.7028644808197E-007
0.2268,5.6585252733016E-008,2.8292626366508E-007
0.2269,5.9118651110549E-008,2.9559325555274E-007
0.227,6.1668067121621E-008,3.0834033560811E-007
0.22701018066406,6.1928040553821E-008,3.096402027691E-007
0.2271,6.0380154778542E-008,3.0190077389271E-007
0.2272,5.8643869050831E-008,2.9321934525416E-007
0.2273,5.6905086751971E-008,2.8452543375985E-007
0.2274,5.5153241097744E-008,2.7576620548872E-007
0.2275,5.3398558383279E-008,2.6699279191639E-007
0.2276,5.1631111979472E-008,2.5815555989736E-007
0.2277,4.9860485180406E-008,2.4930242590203E-007
0.2278,4.807739715398E-008,2.403869857699E-007
0.2279,4.629078254438E-008,2.314539127219E-007
0.228,4.4492011972298E-008,2.2246005986149E-007
0.22801040039063,4.4304782990245E-008,2.2152391495122E-007
0.2281,4.3329673917984E-008,2.1664836958992E-007
0.2282,4.2232821931729E-008,2.1116410965864E-007
0.2283,4.1134958798248E-008,2.0567479399124E-007
0.2284,4.0028465458059E-008,2.0014232729029E-007
0.2285,3.8920746822689E-008,1.9460373411344E-007
0.2286,3.7804587980834E-008,1.8902293990417E-007
0.2287,3.6686987934913E-008,1.8343493967457E-007
0.2288,3.5561139414971E-008,1.7780569707486E-007
0.2289,3.4433632017044E-008,1.7216816008522E-007
0.229,3.3298069613886E-008,1.6649034806943E-007
0.22901062011719,3.3177422515602E-008,1.6588711257801E-007
0.2291,3.3096210592563E-008,1.6548105296281E-007
0.2292,3.3004775224382E-008,1.6502387612191E-007
0.2293,3.2909729252984E-008,1.6454864626492E-007
0.2294,3.2817088075088E-008,1.6408544037544E-007
0.2295,3.2720852159463E-008,1.6360426079732E-007
0.2296,3.2626998437122E-008,1.6313499218561E-007
0.2297,3.2529569615777E-008,1.6264784807888E-007
0.2298,3.2434507267227E-008,1.6217253633613E-007
0.2299,3.2335882554126E-008,1.6167941277063E-007
0.23,3.2239604826147E-008,1.6119802413074E-007
0.23001083984375,3.2226737612082E-008,1.6113368806041E-007
0.2301,3.3930786141698E-008,1.6965393070849E-007
0.2302,3.5850159763472E-008,1.7925079881736E-007
0.2303,3.7771603540937E-008,1.8885801770468E-007
0.2304,3.9701840029955E-008,1.9850920014978E-007
0.2305,4.1633807074773E-008,2.0816903537386E-007
0.2306,4.3574930306822E-008,2.1787465153411E-007
0.2307,4.5517442618606E-008,2.2758721309303E-007
0.2308,4.7469476496677E-008,2.3734738248339E-007
0.2309,4.9422556098582E-008,2.4711278049291E-007
0.231,5.1385518967376E-008,2.5692759483688E-007
0.23101105957031,5.1602306685002E-008,2.5801153342501E-007
0.2311,5.0874428823508E-008,2.5437214411754E-007
0.2312,5.0058395600573E-008,2.5029197800286E-007
0.2313,4.9235381092731E-008,2.4617690546366E-007
0.2314,4.841443721423E-008,2.4207218607115E-007
0.2315,4.7590996320493E-008,2.3795498160247E-007
0.2316,4.6760792249386E-008,2.3380396124693E-007
0.2317,4.5932424684584E-008,2.2966212342292E-007
0.2318,4.509744048218E-008,2.254872024109E-007
0.2319,4.4264135697165E-008,2.2132067848582E-007
0.232,4.3424361667044E-008,2.1712180833522E-007
0.23201127929688,4.3329834486761E-008,2.166491724338E-007
0.2321,4.3360214598953E-008,2.1680107299476E-007
0.2322,4.3390473288792E-008,2.1695236644396E-007
0.2323,4.3424648902794E-008,2.1712324451397E-007
0.2324,4.3454838161697E-008,2.1727419080848E-007
0.2325,4.3488954455427E-008,2.1744477227713E-007
0.2326,4.3519074067855E-008,2.1759537033928E-007
0.2327,4.355312609528E-008,2.177656304764E-007
0.2328,4.3583175842155E-008,2.1791587921077E-007
0.2329,4.3617163370834E-008,2.1808581685417E-007
0.233,4.3647143032823E-008,2.1823571516412E-007
0.23301149902344,4.3650948086741E-008,2.182547404337E-007
0.2331,4.8153709530234E-008,2.4076854765117E-007
0.2332,5.3249724380493E-008,2.6624862190247E-007
0.2333,5.8363991865272E-008,2.9181995932636E-007
0.2334,6.3486355837949E-008,3.1743177918974E-007
0.2335,6.8627929909494E-008,3.4313964954747E-007
0.2336,7.3776691393534E-008,3.6888345696767E-007
0.2337,7.8945616617562E-008,3.9472808308781E-007
0.2338,8.4120823486092E-008,4.2060411743046E-007
0.2339,8.9317169629974E-008,4.4658584814987E-007
0.234,9.4518870922954E-008,4.7259435461477E-007
0.23401171875,9.5130116011948E-008,4.7565058005974E-007
0.2341,9.1945205531404E-008,4.5972602765702E-007
0.2342,8.8320085712331E-008,4.4160042856165E-007
0.2343,8.4693354787013E-008,4.2346677393506E-007
0.2344,8.1049249602112E-008,4.0524624801056E-007
0.2345,7.7402852864111E-008,3.8701426432055E-007
0.2346,7.3746442571642E-008,3.6873221285821E-007
0.2347,7.0073629102426E-008,3.5036814551213E-007
0.2348,6.6397496572775E-008,3.3198748286388E-007
